MonsterID,MonsterName,Type,Tier,Difficulty,Ruby,Sapphire,Emerald,RubyChance,SapphireChance,EmeraldChance
1,1_Monster_DullType_Gray,0,0,10,0,1,0,0,1,0.1
2,1_Monster_DullType_Green,0,1,12,1,1,1,0.1,1,0.3
3,1_Monster_DullType_Blue,0,2,14,1,2,1,0.1,1,0.4
4,1_Monster_DullType_Red,0,3,16,1,3,2,0.2,1,0.6
5,Monster_DullType_Purple,0,4,18,2,4,2,0.3,1,1
6,1_Monster_PointedType_Gray,2,0,13,0,1,0,0,1,0
7,1_Monster_PointedType_Green,2,1,17,1,1,1,0.1,1,0.3
8,1_Monster_PointedType_Blue,2,2,21,1,2,1,0.1,1,0.4
9,1_Monster_PointedType_Red,2,3,24,1,3,2,0.2,1,0.6
10,1_Monster_PointedType_Purple,2,4,28,2,4,3,0.3,1,1
11,1_Monster_PointedType_Gray,1,0,15,1,1,1,1,1,0.2
12,1_Monster_PointedType_Green,1,1,20,1,1,1,1,1,0.4
13,1_Monster_PointedType_Blue,1,2,25,1,2,1,1,1,0.6
14,1_Monster_PointedType_Red,1,3,30,2,3,2,1,1,0.8
15,1_Monster_PointedType_Purple,1,4,35,3,4,3,1,1,1
